id_nodo,distrito,lat_mean,lon_mean,count
113,HUACHO,-11.200119617810946,-77.56184537563199,218
114,LA VICTORIA,-12.074632528517768,-77.01074598672386,4410
115,LOS OLIVOS,-12.009779127190313,-77.07359601332091,2954
116,SAN MARTIN DE PORRES,-11.95862951054812,-77.09700982270647,3750
117,SAN JUAN DE LURIGANCHO,-11.969451226386292,-77.00820531137146,3005
118,SAN ANTONIO,-11.770332103806092,-76.80890795950653,164
119,CHANCAY,-11.484185073993585,-77.30665268044385,153
120,ASIA,-12.735416498230673,-76.60662875832547,359
121,LIMA,-12.085773628167516,-76.83309950817993,485
122,PACHACAMAC,-12.116306208694306,-76.87219117658606,1040
123,SANTA ANITA,-12.031426143880637,-76.94842185652006,2999
124,RIMAC,-12.038695502704249,-77.02306163072527,2439
125,LINCE,-12.085470451821113,-77.0408340778387,4167
126,HUARAL,-11.549850316727225,-77.18128738057041,145
127,HUAURA,-11.058092861374748,-77.00138986212127,17
128,BARRANCA,-10.540527461712845,-77.75634811815755,69
129,PUENTE PIEDRA,-11.828142503178393,-77.11295451526507,1440
130,SAN JUAN DE LURIGANCHO,-11.941076466126638,-76.96402814451899,1699
131,PACHACAMAC,-12.176658495804062,-76.86229233103678,294
132,SAN JUAN DE LURIGANCHO,-11.89251760718956,-76.96199146114503,2163
133,BARRANCA,-10.733378478577112,-77.6105087676878,64
134,CARABAYLLO,-11.839085463905962,-77.01211263668999,1070
135,ATE,-12.013821886651336,-76.82174403360149,3224
136,MIRAFLORES,-12.12227752995897,-77.03583096583469,4233
137,VILLA MARIA DEL TRIUNFO,-12.186676834060066,-76.9411424628332,2225
138,QUILMANA,-12.940649766857016,-76.3818727482111,431
139,LIMA,-11.995134916612095,-76.92142345682056,278
140,AMBAR,-10.767881776416074,-77.25509357237073,17
141,ATE,-12.042035456770595,-76.89583700394168,1656
142,INDEPENDENCIA,-11.979589308041932,-77.05675189951234,3891
143,PUENTE PIEDRA,-11.848621155321739,-77.08329335329857,1725
144,CARABAYLLO,-11.890451376454894,-77.02726438624997,1589
145,CHORRILLOS,-12.19046838821744,-76.99469679532895,2988
146,BARRANCO,-12.149698945347758,-77.01929550397999,3914
147,HUACHO,-11.355262428829128,-77.4417629928466,163
148,SAN VICENTE DE CAÑETE,-13.078271192606781,-76.383855067651,416
149,COMAS,-11.91425141117848,-77.05094085722024,2254
150,HUARAL,-11.495449896153039,-77.2086882999167,289
151,SANTA ROSA,-11.794327490393627,-77.15540268001224,450
152,ANCON,-11.68711707568521,-77.1781433368833,257
153,ASIA,-12.925087001476308,-76.50490566847455,94
154,SAN JUAN DE LURIGANCHO,-11.897825808956009,-76.94061744492014,1374
155,SANTIAGO DE SURCO,-12.107680955649633,-76.97437190445811,2328
156,PACHACAMAC,-12.149705566559822,-76.85916481858365,550
157,OYON,-10.664349884691147,-76.76613361312484,36
158,LIMA,-12.080171552071578,-76.75613621248885,290
159,SANTA ROSA DE QUIVES,-11.68617254822061,-76.91912323042426,129
160,COMAS,-11.903627300929907,-77.0402934157846,2334
161,LA MOLINA,-12.102917560393724,-76.94560707220552,2139
162,CARABAYLLO,-11.79190867013806,-76.98107265912535,513
163,VILLA MARIA DEL TRIUNFO,-12.216822287572,-76.90201136867658,2036
164,LIMA,-11.944798169546585,-76.70884498362304,504
165,CARABAYLLO,-11.878999889467861,-77.00364455577338,1178
166,ALIS,-12.288035605245636,-75.70730416852425,13
167,SAN MATEO,-11.781744116860224,-76.29714747539037,96
168,LOS OLIVOS,-12.002935248557545,-77.06314302868596,2403
169,SAN JUAN DE MIRAFLORES,-12.167074419963233,-76.97935773926619,2204
170,NUEVO IMPERIAL,-13.077154949039386,-76.27785277624707,199
171,YAUYOS,-12.324498613158639,-76.16546025178167,17
172,LA VICTORIA,-12.065759033898265,-77.01754527403303,3714
173,SAN MARTIN DE PORRES,-11.9839477507125,-77.09671070875848,2871
174,SAN JUAN DE LURIGANCHO,-11.951195716097015,-76.94505926775831,829
175,CARABAYLLO,-11.820554777765263,-77.04550798372715,894
